SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
CN(CC(=O)N1CC(O)(C(F)F)C1)[C@@H]1CCS(=O)(=O)C1,ZINC000516456366,OK,312.338,-1.0562999999999985,1,5,77.92,4
CN(CC(=O)N1CC(O)(C(F)F)C1)[C@H]1CCS(=O)(=O)C1,ZINC000516456367,OK,312.338,-1.0562999999999985,1,5,77.92,4
NS(=O)(=O)CCN1CCN(C(=O)C[C@H]2CCCN2)CC1,ZINC000516463891,OK,304.41600000000005,-1.4387999999999952,2,5,95.74000000000001,5
NS(=O)(=O)CCN1CCN(C(=O)C[C@@H]2CCCN2)CC1,ZINC000516463892,OK,304.41600000000005,-1.4387999999999952,2,5,95.74000000000001,5
CN(C)S(=O)(=O)N(C)CC(=O)N1CCN2CCOC[C@H]2C1,ZINC000516478921,OK,320.4150000000001,-1.7323999999999946,0,5,73.4,4
CN(C)S(=O)(=O)N(C)CC(=O)N1CCN2CCOC[C@@H]2C1,ZINC000516478922,OK,320.4150000000001,-1.7323999999999946,0,5,73.4,4
CS(=O)(=O)c1ccc(S(=O)(=O)N[C@@H]2COC[C@H]2O)cn1,ZINC000516492161,OK,322.36400000000003,-1.476899999999999,2,7,122.66000000000001,4
CO[C@@H]1COC[C@H]1NC(=O)N1CCN(C(C)(C)C(N)=O)CC1,ZINC000516566325,OK,314.3860000000001,-1.008699999999996,2,5,97.13,4
CNS(=O)(=O)N1CCN(S(=O)(=O)c2ccn(C)n2)CC1,ZINC000516566558,OK,323.4000000000001,-1.809399999999997,1,6,104.61,4
Cn1cc(CNC(=O)c2nc(N)nc(N3CCOCC3)n2)cn1,ZINC000516573729,OK,318.34100000000007,-1.0460999999999991,2,9,124.08,4
CN(C)S(=O)(=O)c1c[nH]c(C(=O)NCC(C)(CO)CO)c1,ZINC000516575590,OK,319.3830000000001,-1.0142999999999982,4,5,122.73000000000002,7
